AquaCrop 4.0 (June 2012) - Output created on (date) : 01/05/2014   at (time) : 09:47:20
Soil Water Content at various depths (at center of compartments)

                 at depth (m):      0.05        0.15        0.25        0.35        0.45        0.55        0.65        0.75        0.85        0.95
   Day Month  Year   DAP Stage   WC1(vol%)   WC2(vol%)   WC3(vol%)   WC4(vol%)   WC5(vol%)   WC6(vol%)   WC7(vol%)   WC8(vol%)   WC9(vol%)  WC10(vol%)  WC11(vol%)  WC12(vol%)
    22     9  1996    -9    0       24.9        15.0        15.0        16.2        18.7        21.2        23.7        26.2        28.7        30.0
    23     9  1996    -9    0       45.2        15.0        15.0        16.2        18.7        21.2        23.7        26.2        28.7        30.0
    24     9  1996    -9    0       35.0        22.2        15.0        16.2        18.7        21.2        23.7        26.2        28.7        30.0
    25     9  1996    -9    0       35.3        25.0        15.0        16.2        18.7        21.2        23.7        26.2        28.7        30.0
    26     9  1996    -9    0       35.8        27.9        15.0        16.2        18.7        21.2        23.7        26.2        28.7        30.0
    27     9  1996    -9    0       28.6        31.0        15.0        16.2        18.7        21.2        23.7        26.2        28.7        30.0
    28     9  1996    -9    0       25.5        31.1        15.2        16.2        18.7        21.2        23.7        26.2        28.7        30.0
    29     9  1996    -9    0       23.5        31.0        15.2        16.2        18.7        21.2        23.7        26.2        28.7        30.0
    30     9  1996    -9    0       22.3        31.0        15.3        16.2        18.7        21.2        23.7        26.2        28.7        30.0
     1    10  1996    -9    0       19.9        30.9        15.3        16.2        18.7        21.2        23.7        26.2        28.7        30.0
     2    10  1996    -9    0       23.5        30.9        15.3        16.2        18.7        21.2        23.7        26.2        28.7        30.0
     3    10  1996    -9    0       20.5        30.9        15.3        16.2        18.7        21.2        23.7        26.2        28.7        30.0
     4    10  1996    -9    0       18.6        30.9        15.4        16.2        18.7        21.2        23.7        26.2        28.7        30.0
     5    10  1996    -9    0       17.4        30.9        15.4        16.2        18.7        21.2        23.7        26.2        28.7        30.0
